State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
WA,AJANA,6532,Durack,,,
WA,ALLANOOKA,6525,Durack,,,
WA,ALMA,6535,Durack,,,
WA,AMBANIA,6632,Durack,,,
WA,ANGELO RIVER,6642,Durack,,,
WA,ARDATH,6419,Durack,,,
WA,ARRINO,6519,Durack,,,
WA,ARROWSMITH,6525,Durack,,,
WA,ARROWSMITH EAST,6519,Durack,,,
WA,BAANDEE,6412,Durack,,,
WA,BABAKIN,6428,Durack,,,
WA,BABBAGE ISLAND,6701,Durack,,,
WA,BADGERIN ROCK,6475,Durack,,,
WA,BADGINGARRA,6521,Durack,,,
WA,BADJALING,6383,Durack,,,
WA,BALKULING,6383,Durack,,,
WA,BALLA BALLA,6714,Durack,,,
WA,BALLIDU,6606,Durack,,,
WA,BARBALIN,6479,Durack,,,
WA,BARBERTON,6510,Durack,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,BARROW ISLAND,6712,Durack,,,
WA,BAYNTON,6714,Durack,,,
WA,BAYULU,6765,Durack,,FITZROY CROSSING,
WA,BEACHLANDS,6530,Durack,,,
WA,BEACON,6472,Durack,,,
WA,BEAGLE BAY,6725,Durack,,BROOME,
WA,BENCUBBIN,6477,Durack,,,
WA,BENJABERRING,6463,Durack,,,
WA,BERESFORD,6530,Durack,,,
WA,BERKSHIRE VALLEY,6510,Durack,,,
WA,BIDYADANGA,6725,Durack,,LAGRANGE,
WA,BILINGURR,6725,Durack,,,
WA,BIMBIJY,6472,Durack,,,
WA,BINDI BINDI,6574,Durack,,,
WA,BINNU,6532,Durack,,,
WA,BLUFF POINT,6530,Durack,,,
WA,BODALLIN,6424,Durack,,,
WA,BOLGART,6568,Durack,,,
WA,BONNIE ROCK,6479,Durack,,,
WA,BONNIEFIELD,6525,Durack,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,BOODARIE,6722,Durack,,,
WA,BOODAROCKIN,6423,Durack,,,
WA,BOOKARA,6525,Durack,,,
WA,BOORALAMING,6475,Durack,,,
WA,BOOTENAL,6532,Durack,,,
WA,BOOTHENDARRA,6521,Durack,,,
WA,BOWES,6535,Durack,,,
WA,BOWGADA,6623,Durack,,,
WA,BRINGO,6532,Durack,,,
WA,BROCKMAN,6701,Durack,,,
WA,BROOME,6725,Durack,,,
WA,BROWN RANGE,6701,Durack,,,
WA,BRUCE ROCK,6418,Durack,,,
WA,BULGARRA,6714,Durack,,,
WA,BULLER,6532,Durack,,,
WA,BULLFINCH,6484,Durack,,,
WA,BUNDANOON,6522,Durack,,,
WA,BUNJIL,6623,Durack,,,
WA,BUNTINE,6613,Durack,,,
WA,BURAKIN,6467,Durack,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,BURMA ROAD,6532,Durack,,,
WA,BURRACOPPIN,6421,Durack,,,
WA,BURRAN ROCK,6490,Durack,,,
WA,BURRUP,6714,Durack,,,
WA,CABLE BEACH,6726,Durack,,,
WA,CADOUX,6466,Durack,,,
WA,CALINGIRI,6569,Durack,,,
WA,CAMBALLIN,6728,Durack,,,
WA,CAMBRIDGE GULF,6743,Durack,,,
WA,CANE,6710,Durack,,,
WA,CANNA,6627,Durack,,,
WA,CAPE BURNEY,6532,Durack,,,
WA,CAPE RANGE NATIONAL PARK,6707,Durack,,,
WA,CAPRICORN,6642,Durack,,,
WA,CARANI,6566,Durack,,,
WA,CARBLA,6701,Durack,,,
WA,CARNAMAH,6517,Durack,,,
WA,CARNARVON,6701,Durack,,,
WA,CARRABIN,6423,Durack,,,
WA,CARRARANG,6532,Durack,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,CATABY,6507,Durack,,,
WA,CERVANTES,6511,Durack,,,
WA,CHANDLER,6490,Durack,,,
WA,CHICHESTER,6751,Durack,,,
WA,CLEARY,6472,Durack,,,
WA,COBURN,6532,Durack,,,
WA,COOLADAR HILL,6638,Durack,,,
WA,COOLCALALAYA,6532,Durack,,,
WA,COOLJARLOO,6507,Durack,,,
WA,COOMBERDALE,6512,Durack,,,
WA,COOROW,6515,Durack,,,
WA,COOYA POOYA,6714,Durack,,,
WA,CORAL BAY,6701,Durack,,,
WA,CORINTHIA,6426,Durack,,,
WA,COSSACK,6720,Durack,,,
WA,COWCOWING,6485,Durack,,,
WA,CRAMPHORNE,6420,Durack,,,
WA,CUBBINE,6383,Durack,,,
WA,CUE,6640,Durack,,,
WA,CUNDERDIN,6407,Durack,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,CUNJARDINE,6401,Durack,,,
WA,DAADENNING CREEK,6410,Durack,,,
WA,DAGGAR HILLS,6638,Durack,,,
WA,DALWALLINU,6609,Durack,,,
WA,DAMPIER,6713,Durack,,,
WA,DAMPIER PENINSULA,6725,Durack,,,
WA,DANDANNING,6479,Durack,,,
WA,DANDARAGAN,6507,Durack,,,
WA,DANGIN,6383,Durack,,,
WA,DARTMOOR,6532,Durack,,,
WA,DE GREY,6722,Durack,,,
WA,DEEPDALE,6532,Durack,,,
WA,DENHAM,6537,Durack,,,
WA,DERBY,6728,Durack,,,
WA,DEVILS CREEK,6630,Durack,,,
WA,DINDILOA,6532,Durack,,,
WA,DIRK HARTOG ISLAND,6537,Durack,,,
WA,DJARINDJIN COMMUNITY,6725,Durack,,DAMPIER PENINSULA,
WA,DJUGUN,6725,Durack,,,
WA,DONGARA,6525,Durack,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
WA,DOODENANNING,6383,Durack,,,
WA,DOODLAKINE,6411,Durack,,,
WA,DOWERIN,6461,Durack,,,
