State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
NSW,ALBURY,2640,Farrer,,,
NSW,ALMA PARK,2659,Farrer,,,
NSW,ANABRANCH NORTH,2648,Farrer,,,
NSW,ANABRANCH SOUTH,2648,Farrer,,,
NSW,ARATULA,2714,Farrer,,,
NSW,ARDLETHAN,2665,Farrer,,,
NSW,ARGOON,2707,Farrer,,,
NSW,ARUMPO,2715,Farrer,,,
NSW,BALLDALE,2646,Farrer,,,
NSW,BALLINGAL,2680,Farrer,,GRIFFITH,
NSW,BALRANALD,2715,Farrer,,,
NSW,BARELLAN,2665,Farrer,,,
NSW,BARHAM,2732,Farrer,,,
NSW,BAROOGA,3644,Farrer,,,
NSW,BARRATTA,2710,Farrer,,,
NSW,BEELBANGERA,2680,Farrer,,,
NSW,BENEREMBAH,2680,Farrer,,,
NSW,BERRIGAN,2712,Farrer,,,
NSW,BILBUL,2680,Farrer,,,
NSW,BINYA,2665,Farrer,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,BIRGANBIGIL,2710,Farrer,,,
NSW,BLIGHTY,2713,Farrer,,,
NSW,BOEILL CREEK,2739,Farrer,,,
NSW,BOOLIGAL,2711,Farrer,,,
NSW,BOOMANOOMANA,2712,Farrer,,,
NSW,BOORGA,2652,Farrer,,,
NSW,BOOROORBAN,2710,Farrer,,,
NSW,BOREE CREEK,2652,Farrer,,,
NSW,BOWNA,2644,Farrer,,,
NSW,BROBENAH,2705,Farrer,,,
NSW,BROCKLESBY,2642,Farrer,,,
NSW,BULLATALE,2710,Farrer,,,
NSW,BUNDURE,2700,Farrer,,,
NSW,BUNGOWANNAH,2640,Farrer,,,
NSW,BUNNALOO,2731,Farrer,,,
NSW,BURONGA,2739,Farrer,,,
NSW,BURRABOI,2732,Farrer,,,
NSW,BURRUMBUTTOCK,2642,Farrer,,,
NSW,CALDWELL,2710,Farrer,,,
NSW,CALIMO,2710,Farrer,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,CARABOST,2650,Farrer,,,
NSW,CARRATHOOL,2711,Farrer,,,
NSW,CLARE,2715,Farrer,,,
NSW,COBRAMUNGA,2732,Farrer,,,
NSW,COLEAMBALLY,2707,Farrer,,,
NSW,COLINROOBIE,2700,Farrer,,,
NSW,COLLENDINA,2646,Farrer,,,
NSW,CONARGO,2710,Farrer,,,
NSW,COOKARDINIA,2650,Farrer,,,
NSW,COOMEALLA,2717,Farrer,,,
NSW,COPPABELLA,2644,Farrer,,,
NSW,CORBIE HILL,2705,Farrer,,,
NSW,COREE,2710,Farrer,,,
NSW,COREEN,2646,Farrer,,,
NSW,COROBIMILLA,2700,Farrer,,,
NSW,COROWA,2646,Farrer,,,
NSW,CORRONG,2711,Farrer,,,
NSW,CUDGEL,2700,Farrer,,,
NSW,CULCAIRN,2660,Farrer,,,
NSW,CUNNINYEUK,2734,Farrer,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,CURLWAA,2648,Farrer,,,
NSW,DARETON,2717,Farrer,,,
NSW,DARLINGTON POINT,2706,Farrer,,,
NSW,DAYSDALE,2646,Farrer,,,
NSW,DENILIQUIN,2710,Farrer,,,
NSW,DHURAGOON,2733,Farrer,,,
NSW,DILPURRA,2734,Farrer,,,
NSW,EAST ALBURY,2640,Farrer,,,
NSW,ELLERSLIE,2648,Farrer,,,
NSW,ERIGOLIA,2669,Farrer,,,
NSW,ETTAMOGAH,2640,Farrer,,,
NSW,EUROLEY,2700,Farrer,,,
NSW,EUSTON,2737,Farrer,,,
NSW,FINLEY,2713,Farrer,,,
NSW,FOUR CORNERS,2716,Farrer,,,
NSW,GALA VALE,2716,Farrer,,,
NSW,GALORE,2650,Farrer,,,
NSW,GEROGERY,2642,Farrer,,,
NSW,GILLENBAH,2700,Farrer,,,
NSW,GLENELLEN,2642,Farrer,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,GLENROY,2640,Farrer,,,
NSW,GOGELDRIE,2705,Farrer,,,
NSW,GOL GOL,2738,Farrer,,,
NSW,GONN,2732,Farrer,,,
NSW,GOODNIGHT,2736,Farrer,,,
NSW,GOOLGOWI,2652,Farrer,,,
NSW,GOOMBARGANA,2646,Farrer,,,
NSW,GRIFFITH,2680,Farrer,,,
NSW,GRONG GRONG,2652,Farrer,,,
NSW,GUBBATA,2669,Farrer,,NARADHAN,
NSW,GUNBAR,2711,Farrer,,,
NSW,HAMILTON VALLEY,2641,Farrer,,,
NSW,HANWOOD,2680,Farrer,,,
NSW,HARTWOOD,2710,Farrer,,,
NSW,HATFIELD,2715,Farrer,,,
NSW,HAY,2711,Farrer,,,
NSW,HAY SOUTH,2711,Farrer,,,
NSW,HENTY,2658,Farrer,,,
NSW,HILLSTON,2675,Farrer,,,
NSW,HOLBROOK,2644,Farrer,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,HOPEFIELD,2646,Farrer,,,
NSW,HOWLONG,2643,Farrer,,,
NSW,HUMULA,2652,Farrer,,,
NSW,IVANHOE,2878,Farrer,,,
NSW,JERILDERIE,2716,Farrer,,,
NSW,JINDERA,2642,Farrer,,,
NSW,JINGELLIC,2642,Farrer,,,
NSW,KAMARAH,2665,Farrer,,,
NSW,KERI KERI,2733,Farrer,,,
NSW,KOOBA,2680,Farrer,,,
NSW,KORALEIGH,2735,Farrer,,,
NSW,KYALITE,2715,Farrer,,,
NSW,LAKE BREWSTER,2675,Farrer,,,
NSW,LAKE HUME VILLAGE,3691,Farrer,,,
NSW,LAKE WYANGAN,2680,Farrer,,,
NSW,LALALTY,3644,Farrer,,,
NSW,LANDERVALE,2652,Farrer,,,
NSW,LANKEYS CREEK,2644,Farrer,,,
NSW,LAVINGTON,2641,Farrer,,,
NSW,LEETON,2705,Farrer,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
NSW,LINDIFFERON,2710,Farrer,,,
NSW,LITTLE BILLABONG,2644,Farrer,,,
NSW,LOGIE BRAE,2713,Farrer,,,
NSW,LOWESDALE,2646,Farrer,,,
NSW,MABINS WELL,2716,Farrer,,,
NSW,MAIRJIMMY,2716,Farrer,,,
NSW,MALLAN,3586,Farrer,,,
NSW,MALLEE,2738,Farrer,,,
NSW,MARJIMMY,2716,Farrer,,,
NSW,MATHOURA,2710,Farrer,,,
NSW,MAUDE,2711,Farrer,,,
NSW,MAYRUNG,2710,Farrer,,,
NSW,MELBERGEN,2669,Farrer,,,
NSW,MELLOOL,2734,Farrer,,,
NSW,MERRIWAGGA,2652,Farrer,,,
NSW,MERUNGLE HILL,2705,Farrer,,,
NSW,MOAMA,2731,Farrer,,,
NSW,MONAK,2738,Farrer,,,
NSW,MONIA GAP,2675,Farrer,,,
NSW,MOOLPA,2733,Farrer,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
NSW,MOOMBOOLDOOL,2665,Farrer,,,
NSW,MOONBRIA,2710,Farrer,,,
NSW,MOORARA,2648,Farrer,,,
NSW,MOORWATHA,2640,Farrer,,,
NSW,MORAGO,2710,Farrer,,,
NSW,MORUNDAH,2700,Farrer,,,
NSW,MORVEN,2660,Farrer,,,
NSW,MOSSGIEL,2878,Farrer,,,
NSW,MOULAMEIN,2733,Farrer,,,
NSW,MOUNTAIN CREEK,2644,Farrer,,,
NSW,MOURQUONG,2739,Farrer,,,
NSW,MULLENGANDRA,2644,Farrer,,,
NSW,MULWALA,2647,Farrer,,,
NSW,MURRAMI,2705,Farrer,,,
NSW,MURRAY DOWNS,2734,Farrer,,,
NSW,MYALL PARK,2681,Farrer,,,
NSW,MYRTLE PARK,2713,Farrer,,,
NSW,NARADHAN,2669,Farrer,,,
NSW,NARRANDERA,2700,Farrer,,,
NSW,NERICON,2680,Farrer,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
NSW,NIEMUR,2733,Farrer,,,
NSW,NOORONG,2732,Farrer,,,
NSW,NORTH ALBURY,2640,Farrer,,,
NSW,NYORA,2646,Farrer,,,
NSW,OAKLANDS,2646,Farrer,,,
NSW,ONE TREE,2711,Farrer,,,
NSW,OXLEY,2711,Farrer,,,
NSW,PAN BAN,2648,Farrer,,,
NSW,PARA,2648,Farrer,,,
NSW,PARINGI,2738,Farrer,,,
NSW,PINE CAMP,2648,Farrer,,,
NSW,PINE LODGE,2714,Farrer,,,
NSW,POMONA,2648,Farrer,,,
NSW,POONCARIE,2648,Farrer,,,
NSW,PRETTY PINE,2710,Farrer,,,
NSW,RAND,2642,Farrer,,,
NSW,RANKINS SPRINGS,2669,Farrer,,,
NSW,REDLANDS,2646,Farrer,,,
NSW,RENNIE,2646,Farrer,,,
NSW,RINGWOOD,2646,Farrer,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
NSW,ROSEWOOD,2652,Farrer,,,
NSW,ROTO,2675,Farrer,,,
NSW,RUFUS,2648,Farrer,,,
NSW,SANDIGO,2700,Farrer,,,
NSW,SANGER,2646,Farrer,,,
NSW,SAVERNAKE,2646,Farrer,,,
NSW,SCOTIA,2648,Farrer,,,
NSW,SOUTH ALBURY,2640,Farrer,,,
NSW,SPEEWA,3585,Farrer,,,
NSW,SPLITTERS CREEK,2640,Farrer,,,
NSW,SPRINGDALE HEIGHTS,2641,Farrer,,,
NSW,STANBRIDGE,2705,Farrer,,,
NSW,STEAM PLAINS,2710,Farrer,,,
NSW,STONY CROSSING,2734,Farrer,,,
NSW,STUD PARK,2710,Farrer,,,
