State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,BACK FOREST,2535,Gilmore,,
NSW,BAMARANG,2540,Gilmore,,
NSW,BANGALEE,2541,Gilmore,,
NSW,BARREN GROUNDS,2577,Gilmore,,
NSW,BARRENGARRY,2577,Gilmore,,
NSW,BARRINGELLA,2540,Gilmore,,
NSW,BASIN VIEW,2540,Gilmore,,
NSW,BATEHAVEN,2536,Gilmore,,
NSW,BATEMANS BAY,2536,Gilmore,,
NSW,BAWLEY POINT,2539,Gilmore,,
NSW,BEAUMONT,2577,Gilmore,,
NSW,BEECROFT PENINSULA,2540,Gilmore,,
NSW,BELLAWONGARAH,2535,Gilmore,,
NSW,BENANDARAH,2536,Gilmore,,
NSW,BENDALONG,2539,Gilmore,,
NSW,BERGALIA,2537,Gilmore,,
NSW,BERRARA,2540,Gilmore,,
NSW,BERRINGER LAKE,2539,Gilmore,,
NSW,BERRY,2535,Gilmore,,
NSW,BERRY MOUNTAIN,2535,Gilmore,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BEWONG,2540,Gilmore,,
NSW,BIMBIMBIE,2536,Gilmore,,
NSW,BINGIE,2537,Gilmore,,
NSW,BOLONG,2540,Gilmore,,
NSW,BOMADERRY,2541,Gilmore,,
NSW,BOMBO,2533,Gilmore,,
NSW,BREAM BEACH,2540,Gilmore,,
NSW,BROGERS CREEK,2535,Gilmore,,
NSW,BROOMAN,2538,Gilmore,,
NSW,BROUGHTON,2535,Gilmore,,
NSW,BROUGHTON VALE,2535,Gilmore,,
NSW,BROUGHTON VILLAGE,2534,Gilmore,,
NSW,BROULEE,2537,Gilmore,,
NSW,BROWNS MOUNTAIN,2540,Gilmore,,
NSW,BRUNDEE,2540,Gilmore,,
NSW,BUANGLA,2540,Gilmore,,
NSW,BUCKENBOWRA,2536,Gilmore,,
NSW,BUDDEROO,2535,Gilmore,,
NSW,BUDGONG,2577,Gilmore,,
NSW,BUDJONG VALE,2540,Gilmore,,BUDGONG
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BULEE,2622,Gilmore,,
NSW,BUNDEWALLAH,2535,Gilmore,,
NSW,BURRIER,2540,Gilmore,,
NSW,BURRILL LAKE,2539,Gilmore,,
NSW,CALLALA BAY,2540,Gilmore,,
NSW,CALLALA BEACH,2540,Gilmore,,
NSW,CAMBEWARRA,2540,Gilmore,,
NSW,CAMBEWARRA VILLAGE,2540,Gilmore,,
NSW,CARRINGTON FALLS,2577,Gilmore,,
NSW,CATALINA,2536,Gilmore,,
NSW,COCKWHY,2536,Gilmore,,
NSW,COILA,2537,Gilmore,,
NSW,COMBERTON,2540,Gilmore,,
NSW,COMERONG ISLAND,2540,Gilmore,,
NSW,CONGO,2537,Gilmore,,
NSW,CONJOLA,2539,Gilmore,,
NSW,CONJOLA PARK,2539,Gilmore,,
NSW,COOLANGATTA,2535,Gilmore,,
NSW,COOLUMBURRA,2622,Gilmore,,
NSW,CROOBYAR,2539,Gilmore,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,CROOKHAVEN HEADS,2540,Gilmore,,
NSW,CROOM,2527,Gilmore,,
NSW,CUDMIRRAH,2540,Gilmore,,
NSW,CULBURRA BEACH,2540,Gilmore,,
NSW,CUNJURONG POINT,2539,Gilmore,,
NSW,CURRAMORE,2533,Gilmore,,
NSW,CURRARONG,2540,Gilmore,,
NSW,CURROWAN,2536,Gilmore,,
NSW,CURROWAN CREEK,2536,Gilmore,,
NSW,DENHAMS BEACH,2536,Gilmore,,
NSW,DEPOT BEACH,2536,Gilmore,,
NSW,DEUA,2537,Gilmore,,
NSW,DEUA RIVER VALLEY,2537,Gilmore,,
NSW,DOLPHIN POINT,2539,Gilmore,,
NSW,DURRAS NORTH,2536,Gilmore,,
NSW,EAST LYNNE,2536,Gilmore,,
NSW,ENDRICK,2538,Gilmore,,
NSW,EROWAL BAY,2540,Gilmore,,
NSW,ETTREMA,2536,Gilmore,,
NSW,FALLS CREEK,2540,Gilmore,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,FAR MEADOW,2535,Gilmore,,
NSW,FISHERMANS PARADISE,2539,Gilmore,,
NSW,FOXGROUND,2534,Gilmore,,
NSW,GERRINGONG,2534,Gilmore,,
NSW,GERROA,2534,Gilmore,,
NSW,GREENWELL POINT,2540,Gilmore,,
NSW,GUERILLA BAY,2536,Gilmore,,
NSW,HUSKISSON,2540,Gilmore,,
NSW,HYAMS BEACH,2540,Gilmore,,
NSW,ILLAROO,2540,Gilmore,,
NSW,JAMBEROO,2533,Gilmore,,
NSW,JASPERS BRUSH,2535,Gilmore,,
NSW,JEREMADRA,2536,Gilmore,,
NSW,JERRARA,2533,Gilmore,,
NSW,JERRAWANGALA,2540,Gilmore,,
NSW,KANGAROO VALLEY,2577,Gilmore,,
NSW,KIAMA,2533,Gilmore,,
NSW,KIAMA DOWNS,2533,Gilmore,,
NSW,KIAMA HEIGHTS,2533,Gilmore,,
NSW,KINGHORNE,2540,Gilmore,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
