State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,AIRLY,3851,Gippsland,,
VIC,ALBERTON,3971,Gippsland,,
VIC,ALBERTON WEST,3971,Gippsland,,
VIC,ANGLERS REST,3898,Gippsland,,
VIC,ARBUCKLE,3858,Gippsland,,
VIC,BAIRNSDALE,3875,Gippsland,,
VIC,BALOOK,3971,Gippsland,,
VIC,BANKSIA PENINSULA,3875,Gippsland,,
VIC,BELLBIRD CREEK,3889,Gippsland,,
VIC,BEMM RIVER,3889,Gippsland,,
VIC,BENAMBRA,3900,Gippsland,,
VIC,BENDOC,3888,Gippsland,,
VIC,BENGWORDEN,3875,Gippsland,,
VIC,BETE BOLONG,3888,Gippsland,,
VIC,BETE BOLONG NORTH,3888,Gippsland,,
VIC,BILLABONG,3858,Gippsland,,
VIC,BINDI,3896,Gippsland,,
VIC,BINGINWARRI,3966,Gippsland,,
VIC,BINGO MUNJIE,3898,Gippsland,,
VIC,BLACKWARRY,3844,Gippsland,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BOISDALE,3860,Gippsland,,
VIC,BONANG,3888,Gippsland,,
VIC,BOOLA,3825,Gippsland,,
VIC,BOOLARRA,3870,Gippsland,,
VIC,BOOLARRA SOUTH,3870,Gippsland,,
VIC,BOOLE POOLE,3880,Gippsland,,
VIC,BRIAGOLONG,3860,Gippsland,,
VIC,BROADLANDS,3875,Gippsland,,
VIC,BRODRIBB RIVER,3888,Gippsland,,
VIC,BROOKVILLE,3896,Gippsland,,
VIC,BRUTHEN,3885,Gippsland,,
VIC,BUCHAN,3885,Gippsland,,
VIC,BUCHAN SOUTH,3885,Gippsland,,
VIC,BUDGEE BUDGEE,3862,Gippsland,,
VIC,BUDGEREE,3870,Gippsland,,
VIC,BULDAH,3890,Gippsland,,
VIC,BULLUMWAAL,3875,Gippsland,,
VIC,BUMBERRAH,3902,Gippsland,,
VIC,BUNDALAGUAH,3851,Gippsland,,
VIC,BURAGWONDUC,3858,Gippsland,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BUSHY PARK,3860,Gippsland,,
VIC,BUTCHERS RIDGE,3885,Gippsland,,
VIC,CABBAGE TREE CREEK,3889,Gippsland,,
VIC,CALLIGNEE,3844,Gippsland,,
VIC,CALLIGNEE NORTH,3844,Gippsland,,
VIC,CALLIGNEE SOUTH,3844,Gippsland,,
VIC,CALROSSIE,3971,Gippsland,,
VIC,CALULU,3875,Gippsland,,
VIC,CANN RIVER,3890,Gippsland,,
VIC,CAPE CONRAN,3888,Gippsland,,
VIC,CARRAJUNG,3844,Gippsland,,
VIC,CARRAJUNG LOWER,3844,Gippsland,,
VIC,CARRAJUNG SOUTH,3844,Gippsland,,
VIC,CASSILIS,3898,Gippsland,,
VIC,CHANDLERS CREEK,3890,Gippsland,,
VIC,CHURCHILL,3842,Gippsland,,
VIC,CLIFTON CREEK,3875,Gippsland,,
VIC,CLUB TERRACE,3889,Gippsland,,
VIC,CLYDEBANK,3851,Gippsland,,
VIC,COBAINS,3851,Gippsland,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,COBBANNAH,3862,Gippsland,,
VIC,COBBERAS,3900,Gippsland,,
VIC,COBUNGRA,3898,Gippsland,,
VIC,COMBIENBAR,3889,Gippsland,,
VIC,COONGULLA,3860,Gippsland,,
VIC,CORRINGLE,3888,Gippsland,,
VIC,COWA,3862,Gippsland,,
VIC,COWWARR,3857,Gippsland,,
VIC,CROOKAYAN,3858,Gippsland,,
VIC,CROOKED RIVER,3862,Gippsland,,
VIC,CULLODEN,3860,Gippsland,,STOCKDALE
VIC,DARGO,3862,Gippsland,,
VIC,DARLIMURLA,3871,Gippsland,,
VIC,DARRIMAN,3851,Gippsland,,
VIC,DARTMOUTH,3701,Gippsland,,
VIC,DAWSON,3858,Gippsland,,
VIC,DEDDICK VALLEY,3888,Gippsland,,
VIC,DELBURN,3871,Gippsland,,
VIC,DELEGATE RIVER,3888,Gippsland,,
VIC,DENISON,3858,Gippsland,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,DEPTFORD,3875,Gippsland,,
VIC,DEVON NORTH,3971,Gippsland,,
VIC,DOCTORS FLAT,3895,Gippsland,,
VIC,DOUBLE BRIDGES,3893,Gippsland,,
VIC,DRIFFIELD,3840,Gippsland,,
VIC,DUTSON,3851,Gippsland,,
VIC,DUTSON DOWNS,3851,Gippsland,,
VIC,EAGLE POINT,3878,Gippsland,,
VIC,EAST BAIRNSDALE,3875,Gippsland,,
VIC,EAST SALE,3852,Gippsland,,
VIC,EASTWOOD,3875,Gippsland,,
VIC,ELLASWOOD,3875,Gippsland,,
VIC,ENSAY,3895,Gippsland,,
VIC,ENSAY NORTH,3895,Gippsland,,
VIC,ERRINUNDRA,3889,Gippsland,,
VIC,FAIRY DELL,3875,Gippsland,,
VIC,FERNBANK,3864,Gippsland,,
VIC,FLAGGY CREEK,3875,Gippsland,,
VIC,FLAMINGO BEACH,3851,Gippsland,,
VIC,FLYNN,3844,Gippsland,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
