State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
SA,AGERY,5558,Grey,,,
SA,ALFORD,5555,Grey,,,
SA,ALLANDALE STATION,5723,Grey,,,
SA,ALMA,5401,Grey,,,
SA,AMATA,0872,Grey,,,
SA,AMYTON,5431,Grey,,,
SA,ANAMA,5464,Grey,,,
SA,ANAPALA,0872,Grey,,ERNABELLA,
SA,ANDAMOOKA,5722,Grey,,,
SA,ANDREWS,5454,Grey,,,
SA,ANNA CREEK,5723,Grey,,,
SA,APOINGA,5413,Grey,,,
SA,APPILA,5480,Grey,,,
SA,ARDROSSAN,5571,Grey,,,
SA,ARKAROOLA,5701,Grey,,,
SA,ARKAROOLA VILLAGE,5701,Grey,,,
SA,ARMAGH,5453,Grey,,,
SA,ARNO BAY,5603,Grey,,,
SA,ARTHURTON,5572,Grey,,,
SA,AUBURN,5451,Grey,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
SA,AUSTRALIA PLAINS,5374,Grey,,,
SA,AVON,5501,Grey,,,
SA,BACKY POINT,5601,Grey,,,
SA,BAIRD BAY,5671,Grey,,,
SA,BALAH,5417,Grey,,,
SA,BALAKLAVA,5461,Grey,,,
SA,BALDINA,5417,Grey,,,
SA,BALGOWAN,5573,Grey,,,
SA,BANGOR,5481,Grey,,,
SA,BARABBA,5460,Grey,,,
SA,BARINIA,5453,Grey,,,
SA,BARNA,5641,Grey,,,
SA,BARNDIOOTA,5434,Grey,,,
SA,BAROOTA,5495,Grey,,,
SA,BARUNGA GAP,5520,Grey,,,
SA,BEAUFORT,5550,Grey,,,
SA,BEETALOO VALLEY,5523,Grey,,,
SA,BELALIE EAST,5491,Grey,,,
SA,BELALIE NORTH,5491,Grey,,,
SA,BELTANA,5730,Grey,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
SA,BELTON,5432,Grey,,,
SA,BENBOURNIE,5453,Grey,,,
SA,BLACK POINT,5571,Grey,,,
SA,BLACK ROCK,5431,Grey,,,
SA,BLACK SPRINGS,5413,Grey,,,
SA,BLANCHE HARBOR,5700,Grey,,,
SA,BLINMAN,5730,Grey,,,
SA,BLUFF BEACH,5575,Grey,,,
SA,BLYTH,5462,Grey,,,
SA,BOCKELBERG,5655,Grey,,,
SA,BOCONNOC PARK,5453,Grey,,,
SA,BOGATI,5690,Grey,,BOOKABIE,
SA,BOOBOROWIE,5417,Grey,,,
SA,BOOGABI,5690,Grey,,BOOKABIE,
SA,BOOKABIE,5690,Grey,,,
SA,BOOLEROO CENTRE,5482,Grey,,,
SA,BOONERDO,5633,Grey,,,
SA,BOORS PLAIN,5554,Grey,,,
SA,BOSTON,5607,Grey,,,
SA,BOWER,5374,Grey,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
SA,BOWILLIA,5461,Grey,,,
SA,BOWMANS,5550,Grey,,,
SA,BRADY CREEK,5381,Grey,,,
SA,BRAMFIELD,5670,Grey,,,
SA,BRENTWOOD,5575,Grey,,,
SA,BRIGHT,5381,Grey,,,
SA,BRINKWORTH,5464,Grey,,,
SA,BROOKER,5607,Grey,,,
SA,BROUGHTON RIVER VALLEY,5454,Grey,,,
SA,BROWNLOW,5374,Grey,,,
SA,BRUCE,5433,Grey,,,
SA,BUCHANAN,5374,Grey,,,
SA,BUCKLEBOO,5641,Grey,,,
SA,BUMBUNGA,5520,Grey,,,
SA,BUNDALEER GARDENS,5491,Grey,,,
SA,BUNDALEER NORTH,5491,Grey,,,
SA,BUNDEY,5320,Grey,,,
SA,BUNGAMA,5540,Grey,,,
SA,BUNGAREE,5464,Grey,,,
SA,BURNSFIELD,5520,Grey,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
SA,BURRA,5417,Grey,,,
SA,BURRA EASTERN DISTRICTS,5417,Grey,,,
SA,BUTE,5560,Grey,,,
SA,BUTLER,5605,Grey,,,
SA,CALCA,5671,Grey,,,
SA,CALOMBA,5501,Grey,,,
SA,CALTOWIE,5490,Grey,,,
SA,CALTOWIE NORTH,5490,Grey,,,
SA,CALTOWIE WEST,5490,Grey,,,
SA,CAMPOONA,5640,Grey,,,
SA,CANEGRASS,5417,Grey,,,
SA,CANOWIE,5419,Grey,,,
SA,CANOWIE BELT,5420,Grey,,,
SA,CARALUE,5641,Grey,,,
SA,CARAWA,5680,Grey,,,
SA,CARRIETON,5432,Grey,,,
SA,CARRIEWERLOO,5701,Grey,,,
SA,CAVENAGH,5422,Grey,,,
SA,CEDUNA,5690,Grey,,,
SA,CEDUNA WATERS,5690,Grey,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
SA,CHANDADA,5680,Grey,,,
SA,CHARLTON GULLY,5607,Grey,,,
SA,CHARRA,5690,Grey,,,
SA,CHILPENUNDA,5660,Grey,,,
SA,CHINAMAN WELLS,5573,Grey,,,
SA,CHINBINGINA,5680,Grey,,,
SA,CLARE,5453,Grey,,,
SA,CLEMENTS GAP,5523,Grey,,,
SA,CLEVE,5640,Grey,,,
SA,CLINTON,5570,Grey,,,
SA,CLINTON CENTRE,5570,Grey,,,
SA,COCATA,5654,Grey,,,
SA,COCKALEECHIE,5631,Grey,,,
SA,COCKBURN,5440,Grey,,,
SA,COFFIN BAY,5607,Grey,,,
SA,COLLEY,5671,Grey,,,
SA,COLLINSFIELD,5555,Grey,,,
SA,COLLINSVILLE,5418,Grey,,,
SA,COLTON,5670,Grey,,,
SA,COMMISSARIAT POINT,5700,Grey,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
SA,COMMONWEALTH HILL,5701,Grey,,,
SA,CONDOWIE,5464,Grey,,,
SA,COOBER PEDY,5723,Grey,,,
SA,COOBOWIE,5583,Grey,,,
SA,COOK,5701,Grey,,,
SA,COOLILLIE,5670,Grey,,,
SA,COOMOOROO,5431,Grey,,,
SA,COOMUNGA,5607,Grey,,,
SA,COONAMIA,5540,Grey,,,
SA,COONDAMBO,5701,Grey,,,
SA,COORABIE,5690,Grey,,,
SA,COOTRA,5650,Grey,,,
SA,COPLEY,5732,Grey,,,
