State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ADELAIDE LEAD,3465,Mallee,,
VIC,ALBACUTYA,3424,Mallee,,
VIC,ALMA,3465,Mallee,,
VIC,AMHERST,3371,Mallee,,
VIC,AMPHITHEATRE,3468,Mallee,,
VIC,ANNUELLO,3549,Mallee,,
VIC,ANTWERP,3414,Mallee,,
VIC,APPIN,3579,Mallee,,
VIC,APPIN SOUTH,3579,Mallee,,
VIC,APSLEY,3319,Mallee,,
VIC,ARAPILES,3409,Mallee,,
VIC,ARCHDALE,3475,Mallee,,
VIC,ARCHDALE JUNCTION,3475,Mallee,,
VIC,AREEGRA,3480,Mallee,,
VIC,ARNOLD,3551,Mallee,,
VIC,ARNOLD WEST,3551,Mallee,,
VIC,AUBREY,3393,Mallee,,
VIC,AUCHMORE,3570,Mallee,,
VIC,AVOCA,3467,Mallee,,
VIC,AVON PLAINS,3477,Mallee,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BAEL BAEL,3579,Mallee,,
VIC,BALLAPUR,3483,Mallee,,
VIC,BANGERANG,3393,Mallee,,
VIC,BANNERTON,3549,Mallee,,
VIC,BANYAN,3485,Mallee,,
VIC,BANYENA,3388,Mallee,,
VIC,BARKLY,3384,Mallee,,
VIC,BARRAKEE,3525,Mallee,,
VIC,BARRAPORT,3537,Mallee,,
VIC,BARRAPORT WEST,3537,Mallee,,
VIC,BEALIBA,3475,Mallee,,
VIC,BEARS LAGOON,3517,Mallee,,
VIC,BEAUCHAMP,3579,Mallee,,
VIC,BEAZLEYS BRIDGE,3477,Mallee,,
VIC,BENAYEO,3319,Mallee,,
VIC,BENJEROOP,3579,Mallee,,
VIC,BERRIMAL,3518,Mallee,,
VIC,BERRIWILLOCK,3531,Mallee,,
VIC,BET BET,3472,Mallee,,
VIC,BETLEY,3472,Mallee,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BEULAH,3395,Mallee,,
VIC,BEVERFORD,3590,Mallee,,
VIC,BIG DESERT,3490,Mallee,,
VIC,BIMBOURIE,3533,Mallee,,
VIC,BIRCHIP,3483,Mallee,,
VIC,BIRCHIP WEST,3483,Mallee,,
VIC,BIRDWOODTON,3505,Mallee,,
VIC,BLACKHEATH,3401,Mallee,,
VIC,BOIGBEAT,3531,Mallee,,
VIC,BOINKA,3490,Mallee,,
VIC,BOLANGUM,3387,Mallee,,
VIC,BOLTON,3546,Mallee,,
VIC,BOOLITE,3392,Mallee,,
VIC,BOORT,3537,Mallee,,
VIC,BORUNG,3518,Mallee,,
VIC,BOUNDARY BEND,3599,Mallee,,
VIC,BOWENVALE,3465,Mallee,,
VIC,BRENANAH,3517,Mallee,,
VIC,BRIDGEWATER,3516,Mallee,,
VIC,BRIDGEWATER NORTH,3516,Mallee,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BRIDGEWATER ON LODDON,3516,Mallee,,
VIC,BRIM,3391,Mallee,,
VIC,BRIMPAEN,3401,Mallee,,
VIC,BRINGALBERT,3319,Mallee,,
VIC,BROMLEY,3472,Mallee,,
VIC,BROUGHTON,3418,Mallee,,
VIC,BUCKRABANYULE,3525,Mallee,,
VIC,BUDGERUM EAST,3579,Mallee,,
VIC,BULGA,3586,Mallee,,
VIC,BULGANA,3377,Mallee,,
VIC,BUNG BONG,3465,Mallee,,
VIC,BUNGALALLY,3401,Mallee,,
VIC,BUNGULUKE,3527,Mallee,,
VIC,BURKES BRIDGE,3568,Mallee,,
VIC,BURKES FLAT,3475,Mallee,,
VIC,CABARITA,3505,Mallee,,
VIC,CALIVIL,3573,Mallee,,
VIC,CALLAWADDA,3387,Mallee,,
VIC,CAMPBELLS BRIDGE,3387,Mallee,,
VIC,CAMPBELLS FOREST,3556,Mallee,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,CAMPBELLTOWN,3364,Mallee,,
VIC,CANARY ISLAND,3537,Mallee,,
VIC,CANNIE,3540,Mallee,,
VIC,CANNUM,3393,Mallee,,
VIC,CAPELS CROSSING,3579,Mallee,,
VIC,CARALULUP,3371,Mallee,,
VIC,CARAPOOEE,3477,Mallee,,
VIC,CARAPOOEE WEST,3477,Mallee,,
VIC,CARDROSS,3496,Mallee,,
VIC,CARINA,3512,Mallee,,
VIC,CARISBROOK,3464,Mallee,,
VIC,CARRON,3480,Mallee,,
VIC,CARWARP,3494,Mallee,,
VIC,CASTLE DONNINGTON,3585,Mallee,,
VIC,CATUMNAL,3537,Mallee,,
VIC,CHARAM,3318,Mallee,,
VIC,CHARLTON,3525,Mallee,,
VIC,CHETWYND,3312,Mallee,,
VIC,CHILLINGOLLAH,3585,Mallee,,
VIC,CHINANGIN,3544,Mallee,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
