State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ALDGATE,5154,Mayo,,
SA,ALDINGA,5173,Mayo,,
SA,ALDINGA BEACH,5173,Mayo,,
SA,AMERICAN BEACH,5222,Mayo,,
SA,AMERICAN RIVER,5221,Mayo,,
SA,ANGAS PLAINS,5255,Mayo,,
SA,ANTECHAMBER BAY,5222,Mayo,,
SA,ASHBOURNE,5157,Mayo,,
SA,ASHTON,5137,Mayo,,
SA,BACK VALLEY,5211,Mayo,,
SA,BALD HILLS,5203,Mayo,,
SA,BALHANNAH,5242,Mayo,,
SA,BALLAST HEAD,5221,Mayo,,
SA,BASKET RANGE,5138,Mayo,,
SA,BAUDIN BEACH,5222,Mayo,,
SA,BAY OF SHOALS,5223,Mayo,,
SA,BELAIR,5052,Mayo,,
SA,BELVIDERE,5255,Mayo,,
SA,BIGGS FLAT,5153,Mayo,,
SA,BIRCHMORE,5223,Mayo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
SA,BIRDWOOD,5234,Mayo,,
SA,BLACKFELLOWS CREEK,5201,Mayo,,
SA,BLAKISTON,5250,Mayo,,
SA,BLETCHLEY,5255,Mayo,,
SA,BLEWITT SPRINGS,5171,Mayo,,
SA,BRADBURY,5153,Mayo,,
SA,BRIDGEWATER,5155,Mayo,,
SA,BROWN BEACH,5222,Mayo,,
SA,BROWNLOW KI,5223,Mayo,,
SA,BRUKUNGA,5252,Mayo,,
SA,BUGLE RANGES,5251,Mayo,,
SA,BULL CREEK,5157,Mayo,,
SA,CALLINGTON,5254,Mayo,,
SA,CAPE BORDA,5223,Mayo,,
SA,CAPE JERVIS,5204,Mayo,,
SA,CAREY GULLY,5144,Mayo,,
SA,CARRICKALINGA,5204,Mayo,,
SA,CASSINI,5223,Mayo,,
SA,CASTAMBUL,5076,Mayo,,
SA,CHAIN OF PONDS,5231,Mayo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
SA,CHANDLERS HILL,5159,Mayo,,
SA,CHAPEL HILL,5153,Mayo,,
SA,CHARLESTON,5244,Mayo,,
SA,CHERRY GARDENS,5157,Mayo,,
SA,CHERRYVILLE,5134,Mayo,,
SA,CHITON,5211,Mayo,,
SA,CLARENDON,5157,Mayo,,
SA,CLAYTON BAY,5256,Mayo,,
SA,CLELAND,5152,Mayo,,
SA,COROMANDEL EAST,5157,Mayo,,
SA,COROMANDEL VALLEY,5051,Mayo,,
SA,CRAFERS,5152,Mayo,,
SA,CRAFERS WEST,5152,Mayo,,
SA,CRAIGBURN FARM,5051,Mayo,,
SA,CROMER,5235,Mayo,,
SA,CUDLEE CREEK,5232,Mayo,,
SA,CURRENCY CREEK,5214,Mayo,,
SA,CUTTLEFISH BAY,5222,Mayo,,
SA,CYGNET RIVER,5223,Mayo,,
SA,DAWESLEY,5252,Mayo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
SA,DE MOLE RIVER,5223,Mayo,,
SA,DEEP CREEK,5204,Mayo,,
SA,DELAMERE,5204,Mayo,,
SA,D'ESTREES BAY,5223,Mayo,,
SA,DINGABLEDINGA,5172,Mayo,,
SA,DORSET VALE,5157,Mayo,,
SA,DUDLEY EAST,5222,Mayo,,
SA,DUDLEY WEST,5222,Mayo,,
SA,DUNCAN,5223,Mayo,,
SA,ECHUNGA,5153,Mayo,,
SA,EMU BAY,5223,Mayo,,
SA,ENCOUNTER BAY,5211,Mayo,,
SA,FINNISS,5255,Mayo,,
SA,FLAXLEY,5153,Mayo,,
SA,FLINDERS CHASE,5223,Mayo,,
SA,FOREST RANGE,5139,Mayo,,
SA,FORRESTON,5233,Mayo,,
SA,GEMMELLS,5255,Mayo,,
SA,GOOLWA,5214,Mayo,,
SA,GOOLWA BEACH,5214,Mayo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
SA,GOOLWA NORTH,5214,Mayo,,
SA,GOOLWA SOUTH,5214,Mayo,,
SA,GOSSE,5223,Mayo,,
SA,GREEN HILLS RANGE,5153,Mayo,,
SA,GREENHILL,5140,Mayo,,
SA,GUMERACHA,5233,Mayo,,
SA,HAHNDORF,5245,Mayo,,
SA,HAINES,5223,Mayo,,
SA,HARROGATE,5244,Mayo,,
SA,HARTLEY,5255,Mayo,,
SA,HAWTHORNDENE,5051,Mayo,,
SA,HAY FLAT,5204,Mayo,,
SA,HAY VALLEY,5252,Mayo,,
SA,HAYBOROUGH,5211,Mayo,,
SA,HEATHFIELD,5153,Mayo,,
SA,HIGHLAND VALLEY,5255,Mayo,,
SA,HINDMARSH ISLAND,5214,Mayo,,
SA,HINDMARSH TIERS,5202,Mayo,,
SA,HINDMARSH VALLEY,5211,Mayo,,
SA,HOPE FOREST,5172,Mayo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
