State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ALMONDS,3727,Nicholls,,
VIC,ARCADIA,3631,Nicholls,,
VIC,ARCADIA SOUTH,3631,Nicholls,,
VIC,ARDMONA,3629,Nicholls,,
VIC,AVENEL,3664,Nicholls,,
VIC,BAILIESTON,3608,Nicholls,,
VIC,BALLENDELLA,3561,Nicholls,,
VIC,BAMAWM,3561,Nicholls,,
VIC,BAMAWM EXTENSION,3564,Nicholls,,
VIC,BARMAH,3639,Nicholls,,
VIC,BATHUMI,3730,Nicholls,,
VIC,BEARII,3641,Nicholls,,
VIC,BONN,3561,Nicholls,,
VIC,BOOMAHNOOMOONAH,3728,Nicholls,,
VIC,BOOSEY,3730,Nicholls,,
VIC,BOWEYA NORTH,3675,Nicholls,,
VIC,BOXWOOD,3725,Nicholls,,
VIC,BROADFORD,3658,Nicholls,,
VIC,BUNBARTHA,3634,Nicholls,,
VIC,BUNDALONG,3730,Nicholls,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BUNDALONG SOUTH,3730,Nicholls,,
VIC,BURNEWANG,3558,Nicholls,,
VIC,BURRAMBOOT,3559,Nicholls,,
VIC,BURRAMINE,3730,Nicholls,,
VIC,BURRAMINE SOUTH,3730,Nicholls,,
VIC,BYRNESIDE,3617,Nicholls,,
VIC,CANIAMBO,3630,Nicholls,,
VIC,CARAG CARAG,3623,Nicholls,,
VIC,COBRAM,3644,Nicholls,,
VIC,COBRAM EAST,3644,Nicholls,,
VIC,COLBINABBIN,3559,Nicholls,,
VIC,CONGUPNA,3633,Nicholls,,
VIC,COOMA,3616,Nicholls,,
VIC,COOMBOONA,3629,Nicholls,,
VIC,CORNELLA,3551,Nicholls,,
VIC,COROP,3559,Nicholls,,
VIC,COSGROVE,3631,Nicholls,,
VIC,COSGROVE SOUTH,3631,Nicholls,,
VIC,CREEK VIEW,3558,Nicholls,,
VIC,DHURRINGILE,3610,Nicholls,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,DIGGORA,3561,Nicholls,,
VIC,DOOKIE,3646,Nicholls,,
VIC,DOOKIE COLLEGE,3647,Nicholls,,
VIC,DRUMANURE,3636,Nicholls,,
VIC,ECHUCA,3564,Nicholls,,
VIC,ECHUCA VILLAGE,3564,Nicholls,,
VIC,ECHUCA WEST,3564,Nicholls,,
VIC,ESMOND,3730,Nicholls,,
VIC,FAIRY DELL,3561,Nicholls,,
VIC,GILLIESTON,3616,Nicholls,,
VIC,GIRGARRE,3624,Nicholls,,
VIC,GIRGARRE EAST,3616,Nicholls,,
VIC,GLENAROUA,3764,Nicholls,,
VIC,GOBARUP,3559,Nicholls,,
VIC,GOULBURN WEIR,3608,Nicholls,,
VIC,GOWANGARDIE,3669,Nicholls,,
VIC,GRAHAMVALE,3631,Nicholls,,
VIC,GRAYTOWN,3608,Nicholls,,
VIC,GUNBOWER,3566,Nicholls,,
VIC,HARSTON,3616,Nicholls,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,HIGH CAMP,3764,Nicholls,,
VIC,HIGHLANDS,3660,Nicholls,,
VIC,HILLDENE,3660,Nicholls,,
VIC,INVERGORDON,3636,Nicholls,,
VIC,INVERGORDON SOUTH,3634,Nicholls,,KATANDRA WEST
VIC,KAARIMBA,3635,Nicholls,,
VIC,KANYAPELLA,3564,Nicholls,,
VIC,KARRAMOMUS,3631,Nicholls,,
VIC,KATAMATITE,3649,Nicholls,,
VIC,KATAMATITE EAST,3649,Nicholls,,
VIC,KATANDRA,3634,Nicholls,,
VIC,KATANDRA WEST,3634,Nicholls,,
VIC,KATUNGA,3640,Nicholls,,
VIC,KIALLA,3631,Nicholls,,
VIC,KIALLA EAST,3631,Nicholls,,
VIC,KIALLA LAKES,3631,Nicholls,,KIALLA
VIC,KIALLA WEST,3631,Nicholls,,
VIC,KIRWANS BRIDGE,3608,Nicholls,,
VIC,KOONOOMOO,3644,Nicholls,,
VIC,KOTTA,3565,Nicholls,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,KOTUPNA,3638,Nicholls,,
VIC,KOYUGA,3622,Nicholls,,
VIC,KYABRAM,3620,Nicholls,,
VIC,KYABRAM SOUTH,3620,Nicholls,,
VIC,KYVALLEY,3621,Nicholls,,
VIC,LAKE ROWAN,3727,Nicholls,,
VIC,LANCASTER,3620,Nicholls,,
VIC,LEMNOS,3631,Nicholls,,
VIC,LOCKINGTON,3563,Nicholls,,
VIC,LOCKSLEY,3665,Nicholls,,
VIC,LONGWOOD,3665,Nicholls,,
VIC,LONGWOOD EAST,3666,Nicholls,,
VIC,LOWER MOIRA,3639,Nicholls,,
VIC,MAJOR PLAINS,3725,Nicholls,,
VIC,MANGALORE,3663,Nicholls,,
VIC,MARIONVALE,3634,Nicholls,,
VIC,MARUNGI,3634,Nicholls,,
VIC,MERRIGUM,3618,Nicholls,,
VIC,MIEPOLL,3666,Nicholls,,
VIC,MILLOO,3572,Nicholls,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
