State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALDERSHOT,4650,Wide Bay,,
QLD,AMAMOOR,4570,Wide Bay,,
QLD,AMAMOOR CREEK,4570,Wide Bay,,
QLD,ANDERLEIGH,4570,Wide Bay,,
QLD,ANTIGUA,4650,Wide Bay,,
QLD,ARALUEN,4570,Wide Bay,,
QLD,ARAMARA,4620,Wide Bay,,
QLD,BANKS POCKET,4570,Wide Bay,,
QLD,BARAMBAH,4601,Wide Bay,,
QLD,BARLIL,4605,Wide Bay,,
QLD,BAUPLE,4650,Wide Bay,,
QLD,BAUPLE FOREST,4650,Wide Bay,,
QLD,BEAVER ROCK,4650,Wide Bay,,
QLD,BEENAAM VALLEY,4570,Wide Bay,,
QLD,BELLA CREEK,4570,Wide Bay,,
QLD,BELLS BRIDGE,4570,Wide Bay,,
QLD,BIDWILL,4650,Wide Bay,,
QLD,BLACK MOUNTAIN,4563,Wide Bay,,
QLD,BLACK SNAKE,4600,Wide Bay,,
QLD,BLACKMOUNT,4650,Wide Bay,,TIARO
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,BOLLIER,4570,Wide Bay,,
QLD,BOOMPA,4621,Wide Bay,,
QLD,BOONARA,4601,Wide Bay,,
QLD,BOONOOROO,4650,Wide Bay,,
QLD,BOONOOROO PLAINS,4650,Wide Bay,,
QLD,BOOUBYJAN,4601,Wide Bay,,
QLD,BOREEN POINT,4565,Wide Bay,,
QLD,BROOLOO,4570,Wide Bay,,
QLD,BROOWEENA,4620,Wide Bay,,
QLD,BROOYAR,4570,Wide Bay,,WOOLOOGA
QLD,BYEE,4605,Wide Bay,,
QLD,CALGOA,4570,Wide Bay,,
QLD,CALICO CREEK,4570,Wide Bay,,
QLD,CANINA,4570,Wide Bay,,
QLD,CARTERS RIDGE,4563,Wide Bay,,
QLD,CASTAWAYS BEACH,4567,Wide Bay,,
QLD,CEDAR POCKET,4570,Wide Bay,,
QLD,CHATSWORTH,4570,Wide Bay,,
QLD,CHERBOURG,4605,Wide Bay,,
QLD,CINNABAR,4600,Wide Bay,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CLOYNA,4605,Wide Bay,,
QLD,COBBS HILL,4605,Wide Bay,,
QLD,COLES CREEK,4570,Wide Bay,,
QLD,COMO,4571,Wide Bay,,
QLD,COOLOOLA,4580,Wide Bay,,
QLD,COOLOOLA COVE,4580,Wide Bay,,
QLD,COONDOO,4570,Wide Bay,,
QLD,COORAN,4569,Wide Bay,,
QLD,COOROIBAH,4565,Wide Bay,,
QLD,COOROY,4563,Wide Bay,,
QLD,COOROY MOUNTAIN,4563,Wide Bay,,
QLD,COOTHARABA,4565,Wide Bay,,
QLD,CORELLA,4570,Wide Bay,,
QLD,CROWNTHORPE,4605,Wide Bay,,
QLD,CURRA,4570,Wide Bay,,
QLD,DAGUN,4570,Wide Bay,,
QLD,DOONAN,4562,Wide Bay,,
QLD,DOONGUL,4620,Wide Bay,,
QLD,DOWNSFIELD,4570,Wide Bay,,
QLD,DUNMORA,4650,Wide Bay,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,EAST DEEP CREEK,4570,Wide Bay,,
QLD,EERWAH VALE,4562,Wide Bay,,
QLD,ELGIN VALE,4615,Wide Bay,,
QLD,EURONG,4581,Wide Bay,,
QLD,FEDERAL,4568,Wide Bay,,
QLD,FERNEY,4650,Wide Bay,,
QLD,FISHERMANS POCKET,4570,Wide Bay,,
QLD,FRASER ISLAND,4581,Wide Bay,,
QLD,GIGOOMGAN,4620,Wide Bay,,
QLD,GILLDORA,4570,Wide Bay,,
QLD,GLANMIRE,4570,Wide Bay,,
QLD,GLASTONBURY,4570,Wide Bay,,
QLD,GLEN ECHO,4570,Wide Bay,,
QLD,GLENBAR,4620,Wide Bay,,
QLD,GLENORCHY,4650,Wide Bay,,
QLD,GLENROCK,4605,Wide Bay,,
QLD,GLENWOOD,4570,Wide Bay,,
QLD,GOOMBOORIAN,4570,Wide Bay,,
QLD,GOOMERI,4601,Wide Bay,,
QLD,GOOMERIBONG,4601,Wide Bay,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,GOOTCHIE,4650,Wide Bay,,
QLD,GRAHAMS CREEK,4650,Wide Bay,,
QLD,GRANVILLE,4650,Wide Bay,,
QLD,GREAT SANDY STRAIT,4655,Wide Bay,,
QLD,GREENS CREEK,4570,Wide Bay,,
QLD,GUNALDA,4570,Wide Bay,,
QLD,GUNDIAH,4650,Wide Bay,,
QLD,GUNGALOON,4620,Wide Bay,,
QLD,GYMPIE,4570,Wide Bay,,
QLD,HAPPY VALLEY,4655,Wide Bay,,FRASER ISLAND
QLD,IMBIL,4570,Wide Bay,,
QLD,INSKIP,4581,Wide Bay,,
QLD,ISLAND PLANTATION,4650,Wide Bay,,
QLD,JOHNSTOWN,4615,Wide Bay,,
QLD,JONES HILL,4570,Wide Bay,,
QLD,KADINA,4570,Wide Bay,,GUNALDA
QLD,KANDANGA,4570,Wide Bay,,
QLD,KANDANGA CREEK,4570,Wide Bay,,
QLD,KANIGAN,4570,Wide Bay,,
QLD,KIA ORA,4570,Wide Bay,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
