electorate,locality_suburb,postcode,state
Adelaide,Adelaide,5000,SA
Adelaide,Allenby Gardens,5009,SA
Adelaide,Angle Park,5010,SA
Adelaide,Ashford,5035,SA
Adelaide,Blair Athol,5084,SA
Adelaide,Bowden,5007,SA
Adelaide,Broadview,5083,SA
Adelaide,Brompton,5007,SA
Adelaide,Clearview,5085,SA
Adelaide,Collinswood,5081,SA
Adelaide,Cowandilla,5033,SA
Adelaide,Croydon,5008,SA
Adelaide,Croydon Park,5008,SA
Adelaide,Devon Park,5008,SA
Adelaide,Dudley Park,5008,SA
Adelaide,Eastwood,5063,SA
Adelaide,Enfield,5085,SA
Adelaide,Everard Park,5035,SA
Adelaide,Ferryden Park,5010,SA
Adelaide,Fitzroy,5082,SA
Adelaide,Flinders Park,5025,SA
Adelaide,Forestville,5035,SA
Adelaide,Fullarton,5063,SA
Adelaide,Gilberton,5081,SA
Adelaide,Glandore,5037,SA
Adelaide,Goodwood,5034,SA
Adelaide,Greenacres,5086,SA
Adelaide,Hampstead Gardens,5086,SA
Adelaide,Highgate,5063,SA
Adelaide,Hilton,5033,SA
Adelaide,Hindmarsh,5007,SA
Adelaide,Hyde Park,5061,SA
Adelaide,Keswick,5035,SA
Adelaide,Kilburn,5084,SA
Adelaide,Kilkenny,5009,SA
Adelaide,Kurralta Park,5037,SA
Adelaide,Lightsview,5085,SA
Adelaide,Malvern,5061,SA
Adelaide,Manningham,5086,SA
Adelaide,Mansfield Park,5012,SA
Adelaide,Marleston,5033,SA
Adelaide,Medindie,5081,SA
Adelaide,Medindie Gardens,5081,SA
Adelaide,Mile End,5031,SA
Adelaide,Mile End South,5031,SA
Adelaide,Millswood,5034,SA
Adelaide,Nailsworth,5083,SA
Adelaide,North Adelaide,5006,SA
Adelaide,North Plympton,5037,SA
Adelaide,Northfield,5085,SA
Adelaide,Northgate,5085,SA
Adelaide,Ovingham,5082,SA
Adelaide,Parkside,5063,SA
Adelaide,Plympton,5038,SA
Adelaide,Prospect,5082,SA
Adelaide,Regency Park,5010,SA
Adelaide,Renown Park,5008,SA
Adelaide,Richmond,5033,SA
Adelaide,Ridleyton,5008,SA
